county,fair,year,apple_type,apple_totals
Knox ,Knox Co.,1890,Baldwin,16
Knox ,Knox Co.,1890,Ben Davis,16
Knox ,Knox Co.,1890,Famuese,16
Knox ,Knox Co.,1890,Gravenstein,16
Knox ,Knox Co.,1890,McIntosh Red,16
Knox ,Knox Co.,1890,Nod Head,16
Knox ,Knox Co.,1890,Northern Spy,16
Knox ,Knox Co.,1890,Peck's Pleasant,16
Knox ,Knox Co.,1890,Porter,16
Knox ,Knox Co.,1890,R. I. Greening,16
Knox ,Knox Co.,1890,Roxbury Russet,16
Knox ,Knox Co.,1890,Talman Sweet,16
Knox ,Knox Co.,1890,Tompkins King,16
Knox ,Knox Co.,1890,Wagner,16
Knox ,Knox Co.,1890,Yellow Bellflower,16
Knox ,East Knox Co. Fair,1902,Baldwin,19
Knox ,East Knox Co. Fair,1902,Ben Davis,19
Knox ,East Knox Co. Fair,1902,Black Oxford,19
Knox ,East Knox Co. Fair,1902,Fall Greening,19
Knox ,East Knox Co. Fair,1902,Famuse,19
Knox ,East Knox Co. Fair,1902,Gano,19
Knox ,East Knox Co. Fair,1902,Gravenstein,19
Knox ,East Knox Co. Fair,1902,Hubbardston,19
Knox ,East Knox Co. Fair,1902,King,19
Knox ,East Knox Co. Fair,1902,Mountain Sweet,19
Knox ,East Knox Co. Fair,1902,Northern Spy,19
Knox ,East Knox Co. Fair,1902,Pippin,19
Knox ,East Knox Co. Fair,1902,St. Lawrence,19
Knox ,East Knox Co. Fair,1902,Stark,19
Knox ,East Knox Co. Fair,1902,Sweet Russet,19
Knox ,East Knox Co. Fair,1902,Tolman Sweet,19
Knox ,East Knox Co. Fair,1902,Twenty Ounce Pippin,19
Knox ,East Knox Co. Fair,1902,Wealthy,19
Knox ,East Knox Co. Fair,1902,Wolf River,19
Knox ,East Knox Co. Fair,1904,Baldwin,14
Knox ,East Knox Co. Fair,1904,Duchess of Oldenburg,14
Knox ,East Knox Co. Fair,1904,Fletcher Sweet,14
Knox ,East Knox Co. Fair,1904,Gravenstein,14
Knox ,East Knox Co. Fair,1904,Hubbardston,14
Knox ,East Knox Co. Fair,1904,King,14
Knox ,East Knox Co. Fair,1904,New York Pippin,14
Knox ,East Knox Co. Fair,1904,Northern Spy,14
Knox ,East Knox Co. Fair,1904,Red Astracan,14
Knox ,East Knox Co. Fair,1904,Red Beterheimer,14
Knox ,East Knox Co. Fair,1904,Tolman Sweet,14
Knox ,East Knox Co. Fair,1904,Union Pippin,14
Knox ,East Knox Co. Fair,1904,Wagener,14
Knox ,East Knox Co. Fair,1904,William's Favorite,14
Knox ,North Haven,1910,Beverage,1
Knox ,North Haven,1911,Alexander,6
Knox ,North Haven,1911,Baldwin,6
Knox ,North Haven,1911,Gravenstein,6
Knox ,North Haven,1911,Hubbardston,6
Knox ,North Haven,1911,King,6
Knox ,North Haven,1911,Wealthy,6
Knox ,No. Knox Co. Fair,1869,Porter,10
Knox ,No. Knox Co. Fair,1869,Blue Pearmain,10
Knox ,No. Knox Co. Fair,1869,Fall Greening,10
Knox ,No. Knox Co. Fair,1869,Fletcher Sweet,10
Knox ,No. Knox Co. Fair,1869,Pippin,10
Knox ,No. Knox Co. Fair,1869,Fall Pippin,10
Knox ,No. Knox Co. Fair,1869,Russet,10
Knox ,No. Knox Co. Fair,1869,Baking Sweet,10
Knox ,No. Knox Co. Fair,1869,Blue Oxford,10
Knox ,No. Knox Co. Fair,1869,Union Russet,10
Knox ,No. Knox Co. Fair,1874,Porter,6
Knox ,No. Knox Co. Fair,1874,Northern Spy,6
Knox ,No. Knox Co. Fair,1874,Baldwin,6
Knox ,No. Knox Co. Fair,1874,Union Pippin,6
Knox ,No. Knox Co. Fair,1874,Fall Greening,6
Knox ,No. Knox Co. Fair,1874,Gravenstein,6
Knox ,No. Knox Co. Fair,1875,Porter,11
Knox ,No. Knox Co. Fair,1875,Northern Spy,11
Knox ,No. Knox Co. Fair,1875,Baldwin,11
Knox ,No. Knox Co. Fair,1875,Blue Pearmain,11
Knox ,No. Knox Co. Fair,1875,Talman Sweet,11
Knox ,No. Knox Co. Fair,1875,Hubbardston,11
Knox ,No. Knox Co. Fair,1875,Greening,11
Knox ,No. Knox Co. Fair,1875,Fletcher Sweet,11
Knox ,No. Knox Co. Fair,1875,Rhode Island Greening,11
Knox ,No. Knox Co. Fair,1875,Pippin,11
Knox ,No. Knox Co. Fair,1875,Cathead Russet,11
Knox ,No. Knox Co. Fair,1876,Porter,15
Knox ,No. Knox Co. Fair,1876,Northern Spy,15
Knox ,No. Knox Co. Fair,1876,Yellow Bellflower,15
Knox ,No. Knox Co. Fair,1876,Talman Sweet,15
Knox ,No. Knox Co. Fair,1876,Fall Greening,15
Knox ,No. Knox Co. Fair,1876,Gravenstein,15
Knox ,No. Knox Co. Fair,1876,Golden Russet,15
Knox ,No. Knox Co. Fair,1876,Hubbardston,15
Knox ,No. Knox Co. Fair,1876,Fletcher Sweet,15
Knox ,No. Knox Co. Fair,1876,Rhode Island Greening,15
Knox ,No. Knox Co. Fair,1876,Pippin,15
Knox ,No. Knox Co. Fair,1876,Cummings Sweet,15
Knox ,No. Knox Co. Fair,1876,Baking Sweet,15
Knox ,No. Knox Co. Fair,1876,Head Russet,15
Knox ,No. Knox Co. Fair,1876,Imperial Sweet,15
Knox ,No. Knox Co. Fair,1877,Northern Spy,18
Knox ,No. Knox Co. Fair,1877,Baldwin,18
Knox ,No. Knox Co. Fair,1877,Yellow Bellflower,18
Knox ,No. Knox Co. Fair,1877,Blue Pearmain,18
Knox ,No. Knox Co. Fair,1877,Fall Greening,18
Knox ,No. Knox Co. Fair,1877,Hurlburt,18
Knox ,No. Knox Co. Fair,1877,Nod Head,18
Knox ,No. Knox Co. Fair,1877,Rhode Island Greening,18
Knox ,No. Knox Co. Fair,1877,Twenty Ounce Pippin,18
Knox ,No. Knox Co. Fair,1877,Pippin,18
Knox ,No. Knox Co. Fair,1877,Philadelphia Pippin,18
Knox ,No. Knox Co. Fair,1877,Cathead Russet,18
Knox ,No. Knox Co. Fair,1877,Seek-no-Further,18
Knox ,No. Knox Co. Fair,1877,Favorite,18
Knox ,No. Knox Co. Fair,1877,Kimball,18
Knox ,No. Knox Co. Fair,1877,N. Y. Jinctuer,18
Knox ,No. Knox Co. Fair,1877,Spice,18
Knox ,No. Knox Co. Fair,1877,Warren Winter,18
Knox ,No. Knox Co. Fair,1878,Porter,10
Knox ,No. Knox Co. Fair,1878,Northern Spy,10
Knox ,No. Knox Co. Fair,1878,Baldwin,10
Knox ,No. Knox Co. Fair,1878,Blue Pearmain,10
Knox ,No. Knox Co. Fair,1878,Hubbardston,10
Knox ,No. Knox Co. Fair,1878,Roxbury Russet,10
Knox ,No. Knox Co. Fair,1878,Greening,10
Knox ,No. Knox Co. Fair,1878,Sweet Russet,10
Knox ,No. Knox Co. Fair,1878,Pippin,10
Knox ,No. Knox Co. Fair,1878,Pound Sweet,10
Knox ,No. Knox Co. Fair,1879,Porter,11
Knox ,No. Knox Co. Fair,1879,Northern Spy,11
Knox ,No. Knox Co. Fair,1879,Baldwin,11
Knox ,No. Knox Co. Fair,1879,Yellow Bellflower,11
Knox ,No. Knox Co. Fair,1879,Blue Pearmain,11
Knox ,No. Knox Co. Fair,1879,Talman Sweet,11
Knox ,No. Knox Co. Fair,1879,Fall Greening,11
Knox ,No. Knox Co. Fair,1879,Gravenstein,11
Knox ,No. Knox Co. Fair,1879,Greening,11
Knox ,No. Knox Co. Fair,1879,Twenty Ounce Pippin,11
Knox ,No. Knox Co. Fair,1879,R. I. Pippin,11
Knox ,No. Knox Co. Fair,1880,Porter,12
Knox ,No. Knox Co. Fair,1880,Northern Spy,12
Knox ,No. Knox Co. Fair,1880,Baldwin,12
