Given_ID_Clean,Presumed_ID_Clean,uncertain
roxbury russett,roxbury russet,
roxbury russett,roxbury russet,
roxbury russet,roxbury russet,
roxbury russet,roxbury russet,
roxbury russet,roxbury russet,
roxbury ruperts,roxbury russet,
roxbury greening,,?
roxbury,roxbury russet,
rox. russet,roxbury russet,
rox russet,roxbury russet,
rowle's janet,rall's jannet,
round sweet,pound sweet,
roughskin,,?
rough and ready,,?
rostiezer,rostiezer,
ross,,?
rose of stomstead,,?
rose of standish,,?
romna,,?
romeo,,?
rome beauty,rome beauty,
rome beauty,rome beauty,
rombo,rambo,
rombeau,rambo,
rolph,rolfe,
rolfe,rolfe,
rolfe,rolfe,
rolf,rolfe,
rockwood,rockwood,
rockland beauty,rockland beauty,
rockingham stripe,,?
rock sweet,rock sweet,
rock sweet,rock sweet,
rock russet,roxbury russet,
rock baldwin,,?
rochester baldwin,,?
robinson graft,,?
riverstone,ribston pippin,
riverside pippin,,?
river,river,
river,river,
rising sun,,?
ripston pippin,ribston pippin,
ripley sweet,,?
rings sweet,,?
ridge beauty,,?
ribstone pippin,ribston pippin,
ribstone pippin,ribston pippin,
ribston pippin,ribston pippin,
ribston pippin,ribston pippin,
ribston,ribston pippin,
ribbston pippin,ribston pippin,
ribbston,ribston pippin,
rhode island sweet,lyman's pumpkin sweet,
rhode island russet,perry russet,
rhode island quincy,,?
rhode island greenings,rhode island greening,
rhode island greening,rhode island greening,
rhode island greening,rhode island greening,
rhoda sweet,,?
rex regent,roxbury russet,
rewarikee,pewaukee,
revarkin,,?
remsfield,,?
regulus,,?
redstone pippin,ribston pippin,
red-streak,,?
red winter sweet,,?
red winter,,?
red williams,william's favorite,
red william,william's favorite,
red unknown,,?
red transparent crab,red siberain crab,
red sweet,,?
red stripe,,?
red streak,twenty ounce,
red stone pippin,ribston pippin,
red stark,stark,
red spy,northern spy,
red siberian crab,red siberain crab,
red shropshrivine,sops of wine,
red sanad,red canada,
red russet,red russet,
red russet,red russet,
red rome,rome beauty,
red reitingheimer,bietigheimer,
red pumpkin,ramsdell sweet,
red providence maine,,?
red porter,,?
red pippin,,?
red pearmaine,,?
red pearmain,,?
red mcintosh,mcintosh,
red june,red june,
red jewet,nodhead,
red harvey,,?
red gravenstein,gravenstein,
red granada,red canada,
red gold,,?
red flamingo,,?
red everlasting,greyhouse,
red dutch,duchess of oldenburg,
red detroit,detroit red,
red delicious,red delicious,
red crab,,?
