Given_ID,Presumed_ID
mathews stripe,
mealy apple,
old sour apple,
porter apple,
red pearmaine,
stone sweet,
strawberry apple,
sweet russett,
bare limb greening,
king of tompkins county,tompkins county king
wine apple,wine
geenating,fall genneting
hass,haas
killhain hill,
n. y. blush,
stubbs seedling,
swar,swaar
excelsior crab,
littlefield beauty,
somersert,
worcester russet,
baxter,baxter
maine,mann
north star,dudley winter
(pear) french pear,
(pear) sickel,
(pear) st. gesilaine,
benjamin,
eldorado russet,
franklin sweeting (red),
franklin sweeting (striped),
frye apple,frye
h. top sweet,high top sweet
kellum hill,killum hill
lymington (striped),
n. y. sweeting,
sibicum,
(pear) winter bell,
yellow pearmaine,
queen sweeting,
r. i. sweeting,
franklin sweeting,
cathead sweeting,
mild sour,
brunswick pippin,
royal pearmain,
n. t. greening,
twenty ounce n. y. pippin,
washington greening,
thompkin king,
north west greening,
jelley flower,
ponard sweet,
duchess oldenburg,
genniting,
wheatloaf,
savoy,
blake,
new gloucester ball,
twenty—ounce,
fallowater,
grime's golden,
lawrence,st. lawrence
golden bell,
graveline,
hubbardston's nonesuch,
st. lawarence,
striped fameuse,
yellow bellfleur,
magog,
cluster crab,
maine greening,
favorite,
strawberry baldwin,
transendent,
holland pippin,
pumpkin,pumpkin russet
seek no further,westfield
garden rosy,garden royal
none-such,hubbardston
(pear) anglo,
(pear) duchess,(pear) duchesse d'angouleme
(pear) duchess angouleme,
(pear) duchesse de bordeaux,
fall jannetting,
