County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location
hancock,eden,1894.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1895.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False
hancock,eden,1896.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,6,premiums,False
hancock,eden,1897.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums,False
hancock,eden,1898.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False
hancock,eden,1899.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1900.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1901.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1902.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1903.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1904.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False
hancock,eden,1905.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,"1, 8",premiums,False
hancock,eden,1906.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False
hancock,eden,1907.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums,False
hancock,eden,1908.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums,False
hancock,eden,1909.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums,False
hancock,eden,1910.0,eden ag. soc. fair,eden (bar harbor),ellsworth american,3,premiums,False
hancock,eden,1911.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums,False
hancock,eden,1913.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums,False
hancock,eden,1914.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,9,premiums,False
hancock,eden,1915.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums,False
hancock,eden,1916.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums,False
