County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location,Town Latitude,Town Longitude,County Longitude,County Latitude,Coalesce Latitude,Coalesce Longitude
hancock,sedgwick,1885.0,sedgwick first baptist church fair,sedgwick,ellsworth american,3,description,False,44.3057,-68.6163,-68.402,44.614,44.3057,-68.6163
hancock,hancock co. ag. soc.,1869.0,hancock co. ag. soc. fair,ellsworth,ellsworth american,2,description,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock co. ag. soc.,1858.0,hancock co. ag. soc. fair,ellsworth,ellsworth american,2,premiums,False,44.5432046,-68.42494098,-68.402,44.614,44.5432046,-68.42494098
hancock,hancock,1915.0,pamola grange fair,hancock,ellsworth american,2,premiums,False,44.5287,-68.254,-68.402,44.614,44.5287,-68.254
hancock,hancock,1914.0,pamola grange fair,hancock,ellsworth american,3,premiums,False,44.5287,-68.254,-68.402,44.614,44.5287,-68.254
hancock,eden,1893.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1894.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1895.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1896.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,6,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1897.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1898.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1899.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1900.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1901.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1902.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
hancock,eden,1903.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums,False,44.4309,-68.3209,-68.402,44.614,44.4309,-68.3209
