County,Fair,Year,Event,Location,Source,Page,Notes
hancock,eden,1913.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums
hancock,eden,1914.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,9,premiums
hancock,eden,1915.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums
hancock,eden,1916.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums
hancock,eden,1917.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,des. & prem.
hancock,eden,1918.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,5,premiums
hancock,eden,1919.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,7,premiums
hancock,eden,1920.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums
hancock,eden,1922.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums
hancock,eden,1923.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,1,premiums
hancock,eden,1924.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums
hancock,eden,1925.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums
hancock,eden,1926.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,premiums
hancock,eden,1927.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,2,premiums
hancock,eden,1928.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,8,premiums
hancock,eden,1929.0,eden ag. soc. fair,eden (bar harbor),bar harbor times,6,premiums
hancock,amherst,1894.0,northern hancock ag. soc. fair,amherst,ellsworth american,6,premiums
hancock,amherst,1895.0,northern hancock ag. soc. fair,amherst,ellsworth american,5,premiums
hancock,amherst,1896.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums
hancock,amherst,1897.0,northern hancock ag. soc. fair,amherst,ellsworth american,2,premiums
hancock,amherst,1898.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums
hancock,amherst,1899.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums
hancock,amherst,1900.0,northern hancock ag. soc. fair,amherst,ellsworth american,7,premiums
hancock,amherst,1901.0,northern hancock ag. soc. fair,amherst,ellsworth american,"3, 7",premiums
hancock,amherst,1902.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1903.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1905.0,northern hancock ag. soc. fair,amherst,ellsworth american,8,premiums
hancock,amherst,1906.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1907.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1908.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1909.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1910.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1911.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
hancock,amherst,1912.0,northern hancock ag. soc. fair,amherst,ellsworth american,3,premiums
somerset,mercer,1885.0,mercer town fair,mercer,lewiston evening journal,4,premiums
somerset,mercer,1885.0,mercer town fair,mercer,somerset reporter,2,premiums
somerset,mercer,1886.0,mercer town fair,mercer,somerset reporter,1,premiums
somerset,mercer,1887.0,mercer town fair,mercer,somerset reporter,1,premiums
somerset,mercer,1898.0,mercer town fair,mercer,lewiston evening journal,8,premiums
somerset,mercer,1898.0,mercer town fair,mercer,somerset reporter,2,premiums
somerset,mercer,1899.0,mercer town fair,mercer,lewiston evening journal,11,premiums
somerset,mercer,1901.0,mercer town fair,mercer,lewiston evening journal,3,premiums
somerset,mercer,1903.0,mercer town fair,mercer,somerset reporter,7,premiums
somerset,mercer,1904.0,mercer town fair,mercer,somerset reporter,7,premiums
somerset,mercer,1905.0,mercer town fair,mercer,lewiston evening journal,8,premiums
somerset,mercer,1908.0,mercer town fair,mercer,somerset reporter,6,premiums
somerset,fairfield,1885.0,central maine fair,fairfield,pittsfield advertiser,2,description
somerset,brighton,1885.0,brighton fair,brighton,somerset reporter,2,premiums
somerset,brighton,1887.0,brighton fair,brighton,somerset reporter,1,premiums
somerset,brighton,1888.0,brighton fair,brighton,somerset reporter,2,premiums
somerset,brighton,1889.0,west brighton and south bingham cattle show,brighton,somerset reporter,2,premiums
somerset,brighton,1889.0,west brighton and south bingham cattle show,brighton,pittsfield advertiser,2,premiums
somerset,brighton,1890.0,brighton fair,brighton,somerset reporter,4,premiums
somerset,moscow,1879.0,moscow & pleasant ridge fair,moscow,maine farmer,1,premiums
somerset,central me. fair,1885.0,central maine fair,fairfield,pittsfield advertiser,2,description
somerset,no. somerset ag. soc.,1889.0,north somerset agricultural society fair,,somerset reporter,2,premiums
somerset,no. somerset ag. soc.,1884.0,north somerset agricultural society fair,,maine farmer,1,des. & prem.
somerset,starks,1898.0,sandy river ag. soc.,starks,somerset reporter,2,premiums
somerset,starks,1914.0,starks grange fair,starks,daily kennebec journal,8,premiums
somerset,starks,1900.0,sandy river ag. soc.,starks,maine farmer,4,premiums
