Given_ID,Presumed_ID
kellum hill,kilham hill
kellum hill,killum hill
kennebec,
kennebec greening,
kentuck red,
kenwick codlin,keswick codling
kerwicks codlin,keswick codlin
keswick codling,keswick codlin
killam hill,
killen hill,
killernhill,
killhain hill,
killham hill,kilham hill
killham hill,
killum hill,
kilmhill,
kilmhill,killum hill
kimball,winthrop greening
king,
king,tompkins king
king,king of tompkins county
king,king of tompkins
king,tompkins county king
king david,
king david,king david
king edward,
king of dilliam,
king of franklin co.,
king of thompkins co.,king of tompkins county
king of tompkins,
king of tompkins,king of tompkins county
king of tompkins co.,
king of tompkins county,
king of tompkins county,king of tompkins county
king of tompkins county,tompkins county king
king philip sweet,
king pippin,
king sweet,
king sweeting,
king tompkin,
king tompkins,
king tompkins,king of tompkins county
king tompkins,tompkins county king
king tompkins county,
king william,
kings pocket,
kings pockit,
kingston russet,
knowlton sweet,
knox greening,
konkin red stripe,
la rue,
ladie's sweet,lady sweet
ladies blush,
ladies sweet,
ladies' sweet,lady sweet
ladies' sweet,
ladies' sweet,ladies sweet
ladies' sweeting,
lady apple,
lady crab,
lady elgin crab,
lady haley,
lady suffield,
lady sweet,lady sweet
lake,lake
lake,
lancaster,
langfield,
large yellow bough,bough
large yellow bough,
late astrachan,
late mcintosh,
late pippin,
late strawberry,
late sweet,
late winter,
lawler,
lawrence,st. lawrence
lead apple,
leafless,
leafless greening,
lee,
lemon apple,
lemon sweet,
lester sweet,
limba twig,
limber twig,
limber twig greening,
limber twig russet,golden russet of western new york
limberstring,
limberting,
limbertwig,
limbertwig greening,fall harvey
lincoln,
lincoln pippin,
lincoln pippin,winthrop greening
lincoln sweet,
liscomb,
little nonesuch,
littlefield beauty,
loamice,
long field,
long graft,
long john,
long stem,
long stem sweet,
long stem sweeting,baker sweet
longfellow,
longfield,
longfield,longfield
loring sweet,
lost tally,
lovage,
lovejoy sweet,
luister twig,
lumberting,
lutton beauty,sutton beauty
lymington (striped),
lyscom,lyscom
lyscomb,
m. beauty crab,
m. w. greening,northwest greening
maan,
macintosh,
macintosh red,
mackintosh,
mackintosh greening,mcintosh
mackintosh red,
mackintosh red,mcintosh red
madison strawberry,
magog,
magog red streak,
magog redstreak,magog redstreak
maiden blush,maiden blush
maiden blush,
maiden blush,maiden's blush
maiden-blush,
maiden's blush,maiden blush
maiden's blush,
maiden's blush,maiden's blush
maiden's blush,maidens blush
maidens blush,
maidens blush,maiden's blush
maidens blush,maiden blush
main,
maine,
maine,mann
maine baldwin,
maine beauty,
maine greening,
maine harvest,
maine harvey,
maine northern spy,
maine pippin,
maine standard,
maith stripe,lyscom
male carle,
mallet,
mammoth,
mammoth greening,
mammoth pippin,
mammoth russet,
mammoth sweet,
mammouth pippen,
mammy sweet,
mamoth cathead,
man,mann
manchester strawberry,
mann,mann
mann,
mann apple,mann
mann's,
manning,
manson sweet,
mansons sweet,munson sweet
marblehead,
marde maidens blush,
marengo crab,
marling russet,
marshal,
marston,
martha crab,
martha stripe,lyscom
martha stripe,
martha's crab,
mary's apple,
mason,
mass. greening,
massachusetts porter,
mathews stripe,
mawn,
maxim seedling,
mays apple,
mcclellan,
mcintosh,
mcintosh,mcintosh
mcintosh,mcintosh red
mcintosh red,mcintosh
mcintosh red,
mcintosh red,mcintosh red
mclellan,
meallhy,wealthy
mealy apple,
melden,
mellen sweet,
mellen's favorite,
mellon apple,melon
melon,
merrill,
mexican,
michigan greening,
middling,
miland,milding
mild sour,
milden,milding
mildew,milding
milding,milden
milding,
milding,milding
millwig,milden
milton,
minister,minister
minister,
minnesota,
mocher,
mohawk,
molasses sweet,
monarch,
monmoth pippin,
monmouth,monmouth
monmouth black twig,
monmouth pippin,monmouth
monroe sweet,
monson sweet,
monson's sweet,
monster apple,
monster pippin,
monstoon,
montreal beauty crab,montreal beauty crab
montreal peach,peach of montreal
moody,
moody sweet,
moor's river russet,
moore's seedling,
moore's sweet,
morse early,
morton,
moses wood,
mother,mother
mother,
mother apple,
mother of pearl,
mother sweet,
mountain strawberry,
mountain sweet,
mt. greening,
mt. sweet,
mun's sweet,
munson,
munson early,
munson sweet,munson sweet
munson sweet,
munson's sweet,
munster,
mutton apple,
myrick,
n y stripe,
n. e. greening,
n. g. russet,
n. h. sweet,
n. j. pippin,
n. j. sweet,
n. spy,
n. t. greening,
n. w. greening,
n. y. apple,
n. y. baldwin,
n. y. blush,
n. y. crab,
n. y. geneting,
n. y. greening,
n. y. harvey,
n. y. jinctuer,
n. y. nameless,
n. y. pippin,
n. y. porter,
n. y. russet,
n. y. russett,
n. y. seedling,
n. y. spy,
n. y. stripe,
n. y. sweet,
n. y. sweeting,
naked limb greening,fall harvey
naked limb greening,
nancy,
naples crab,
nason,
nathan spy,northern spy
national ash,
native bellflower,
native greening,
native russet,
native snow,
native sweet,
nature,
nelson,
new brunswick greening,
new gloucester ball,
new jersey pippin,
new york,
new york baldwin,
new york bower,
new york cathead,
new york fall pippin,
new york geneting,
new york greening,
new york nodhead,
new york pippin,
new york pippins,
new york pride,
new york russet,
new york russet,golden russet of western new york
new york stark,
new york stripe,
new york sweet,
newark pippin,
newbury sweet,
newton pippin,
newton pippin,newtown pippin
newton sweet,
newton sweeting,
newtown pippin,
newtown pippin,newton pippin
nice,
